label,threshold_group_fraction,coordination_gate_mode,environment_threshold,benefit,action_cost,payoff_learning_rate,coordination_mixer,coordination_peer_rule,alpha,coordination_threshold,seeds,final_action_rate_mean,final_action_rate_std,final_mean_payoff_mean,final_mean_payoff_std,final_group_action_rate_gap_mean,final_group_action_rate_gap_std,final_fragmentation_components_mean
toy9_heterogeneous_sensitivity_seeds01_05,0.75,all_enabled,0.35,1.2,0.45,0.18,output_average,output_similarity,0.25,0.0,5,0.718,0.07854934754662188,0.4179335714285714,0.04703142089093641,0.718,0.07854934754662188,1.0
toy9_heterogeneous_sensitivity_seeds01_05,0.75,all_enabled,0.55,1.2,0.25,0.18,output_average,output_similarity,0.0,0.0,5,0.036,0.005477225575051662,0.27104214285714284,0.004166034611924797,0.036,0.005477225575051662,1.0
toy9_heterogeneous_sensitivity_seeds01_05,0.75,all_enabled,0.55,1.2,0.25,0.18,output_average,output_similarity,0.25,0.0,5,0.036,0.005477225575051663,0.2716799999999999,0.004724388930359805,0.036,0.005477225575051663,1.0
toy9_heterogeneous_sensitivity_seeds01_05,0.75,all_enabled,0.55,1.2,0.45,0.18,output_average,output_similarity,0.0,0.0,5,0.014000000000000002,0.013416407864998738,0.2851892857142857,0.014235805452722195,0.014000000000000002,0.013416407864998738,1.0
toy9_heterogeneous_sensitivity_seeds01_05,0.75,all_enabled,0.55,1.2,0.45,0.18,output_average,output_similarity,0.25,0.0,5,0.014000000000000002,0.015165750888103102,0.28606499999999996,0.014945521051130867,0.014000000000000002,0.015165750888103102,1.0
toy9_heterogeneous_sensitivity_seeds01_05,0.75,gated,0.35,1.2,0.25,0.18,output_average,output_similarity,0.0,0.0,5,0.8119999999999999,0.08700574693662487,0.6741564285714284,0.07696268105718636,0.2826666666666666,0.09399763590407768,1.0
toy9_heterogeneous_sensitivity_seeds01_05,0.75,gated,0.35,1.2,0.25,0.18,output_average,output_similarity,0.25,0.0,5,0.798,0.06300793600809346,0.6368492857142857,0.07081081895891798,0.296,0.10128068807910907,1.0
toy9_heterogeneous_sensitivity_seeds01_05,0.75,gated,0.35,1.2,0.45,0.18,output_average,output_similarity,0.0,0.0,5,0.724,0.081117199162693,0.4194921428571428,0.04686492874120659,0.43200000000000005,0.08620389266797128,1.0
toy9_heterogeneous_sensitivity_seeds01_05,0.75,gated,0.35,1.2,0.45,0.18,output_average,output_similarity,0.25,0.0,5,0.63,0.053385391260156484,0.3461735714285714,0.03223466349463329,0.34933333333333333,0.06211101172721129,1.0
toy9_heterogeneous_sensitivity_seeds01_05,0.75,gated,0.55,1.2,0.25,0.18,output_average,output_similarity,0.0,0.0,5,0.036,0.005477225575051662,0.27104214285714284,0.004166034611924797,0.11200000000000002,0.060074028405700315,1.0
toy9_heterogeneous_sensitivity_seeds01_05,0.75,gated,0.55,1.2,0.25,0.18,output_average,output_similarity,0.25,0.0,5,0.048,0.004472135954999581,0.2643028571428571,0.006232189623238399,0.128,0.0841163215764667,1.0
toy9_heterogeneous_sensitivity_seeds01_05,0.75,gated,0.55,1.2,0.45,0.18,output_average,output_similarity,0.0,0.0,5,0.014000000000000002,0.013416407864998738,0.2851892857142857,0.014235805452722195,0.034666666666666665,0.03723797345005051,1.0
toy9_heterogeneous_sensitivity_seeds01_05,0.75,gated,0.55,1.2,0.45,0.18,output_average,output_similarity,0.25,0.0,5,0.018,0.013038404810405297,0.2815528571428571,0.0127891020551699,0.04533333333333334,0.030695638488590235,1.0
