condition,update_rule,policy_prior_mode,learning_enabled,p0,revision_rate,epoch,seeds,cooperation_mean,policy_pre_mean,policy_post_social_mean,revised_local_loss_mean
neural_default_no_learn,neural_policy,default,False,0.3,0.1,0,3,0.3133333333333333,0.5009981393814087,0.5009981393814087,0.0
neural_default_no_learn,neural_policy,default,False,0.3,0.1,1,3,0.3233333333333333,0.5009981393814087,0.5009981393814087,0.0
neural_default_no_learn,neural_policy,default,False,0.3,0.1,5,3,0.37666666666666665,0.5011024375756582,0.5011024375756582,0.0
neural_default_no_learn,neural_policy,default,False,0.3,0.1,10,3,0.4366666666666667,0.5015533367792765,0.5015533367792765,0.0
neural_default_no_learn,neural_policy,default,False,0.3,0.1,25,3,0.48666666666666664,0.5023393332958221,0.5023393332958221,0.0
neural_default_no_learn,neural_policy,default,False,0.3,0.1,50,3,0.5433333333333333,0.5018034180005392,0.5018034180005392,0.0
neural_default_no_learn,neural_policy,default,False,0.5,0.1,0,3,0.48333333333333334,0.501064270734787,0.501064270734787,0.0
neural_default_no_learn,neural_policy,default,False,0.5,0.1,1,3,0.48666666666666664,0.501064270734787,0.501064270734787,0.0
neural_default_no_learn,neural_policy,default,False,0.5,0.1,5,3,0.4833333333333334,0.5005372961362203,0.5005372961362203,0.0
neural_default_no_learn,neural_policy,default,False,0.5,0.1,10,3,0.49666666666666665,0.5010086198647817,0.5010086198647817,0.0
neural_default_no_learn,neural_policy,default,False,0.5,0.1,25,3,0.49,0.5025502741336823,0.5025502741336823,0.0
neural_default_no_learn,neural_policy,default,False,0.5,0.1,50,3,0.5433333333333333,0.5018007059892019,0.5018007059892019,0.0
neural_default_no_learn,neural_policy,default,False,0.6,0.1,0,3,0.5866666666666666,0.501155823469162,0.501155823469162,0.0
neural_default_no_learn,neural_policy,default,False,0.6,0.1,1,3,0.58,0.501155823469162,0.501155823469162,0.0
neural_default_no_learn,neural_policy,default,False,0.6,0.1,5,3,0.5499999999999999,0.500330259402593,0.500330259402593,0.0
neural_default_no_learn,neural_policy,default,False,0.6,0.1,10,3,0.54,0.5008254845937093,0.5008254845937093,0.0
neural_default_no_learn,neural_policy,default,False,0.6,0.1,25,3,0.49666666666666665,0.5027318994204203,0.5027318994204203,0.0
neural_default_no_learn,neural_policy,default,False,0.6,0.1,50,3,0.5433333333333333,0.5018040041128794,0.5018040041128794,0.0
neural_default_no_learn,neural_policy,default,False,0.7,0.1,0,3,0.71,0.5011892716089884,0.5011892716089884,0.0
neural_default_no_learn,neural_policy,default,False,0.7,0.1,1,3,0.69,0.5011892716089884,0.5011892716089884,0.0
neural_default_no_learn,neural_policy,default,False,0.7,0.1,5,3,0.6366666666666667,0.5010493497053782,0.5010493497053782,0.0
neural_default_no_learn,neural_policy,default,False,0.7,0.1,10,3,0.5966666666666667,0.5017373363176981,0.5017373363176981,0.0
neural_default_no_learn,neural_policy,default,False,0.7,0.1,25,3,0.51,0.5031127035617828,0.5031127035617828,0.0
neural_default_no_learn,neural_policy,default,False,0.7,0.1,50,3,0.5466666666666666,0.5018020570278168,0.5018020570278168,0.0
neural_default_no_learn,neural_policy,default,False,0.9,0.1,0,3,0.9266666666666667,0.5007017453511556,0.5007017453511556,0.0
