label,game_family,update_rule,mixer,peer_rule,initial_cooperation_probability,policy_prior_mode,policy_prior_cooperation_probability,local_update_rule,neural_peer_mode,interaction_mode,revision_rate,selection_strength,policy_temperature,payoff_transform,learning_enabled,epoch,seeds,cooperation_mean,cooperation_std,policy_cooperation_mean,policy_cooperation_std,payoff_mean,payoff_std,local_loss_mean,revised_local_loss_mean,social_loss_mean,realized_revision_rate_mean
toy2_stag_hunt_well_mixed_interaction_gate_seed01_05,stag_hunt,fermi_imitation,none,none,0.55,default,,sampled_policy_gradient,spatial,well_mixed_resampled,0.25,1.0,1.0,linear,True,14,5,0.458,0.06058052492344383,0.4589564144611359,0.06647473502678707,2.1985,0.09281365740019087,0.0,0.0,0.0,0.242
toy2_stag_hunt_well_mixed_interaction_gate_seed01_05,stag_hunt,fermi_imitation,none,none,0.55,default,,sampled_policy_gradient,spatial,well_mixed_resampled,0.25,1.0,1.0,linear,True,15,5,0.462,0.06534523701081818,0.44196858406066897,0.07283859956258822,2.197,0.17245832829991123,0.0,0.0,0.0,0.252
toy2_stag_hunt_well_mixed_interaction_gate_seed01_05,stag_hunt,fermi_imitation,none,none,0.55,default,,sampled_policy_gradient,spatial,well_mixed_resampled,0.25,1.0,1.0,linear,True,16,5,0.44399999999999995,0.07127411872482185,0.4503369927406311,0.0677543945957313,2.1515,0.08421698166047052,0.0,0.0,0.0,0.27199999999999996
toy2_stag_hunt_well_mixed_interaction_gate_seed01_05,stag_hunt,fermi_imitation,none,none,0.55,default,,sampled_policy_gradient,spatial,well_mixed_resampled,0.25,1.0,1.0,linear,True,17,5,0.414,0.0763544366752843,0.42255274057388303,0.06493006616290353,2.1145,0.19404735246841173,0.0,0.0,0.0,0.252
toy2_stag_hunt_well_mixed_interaction_gate_seed01_05,stag_hunt,fermi_imitation,none,none,0.55,default,,sampled_policy_gradient,spatial,well_mixed_resampled,0.25,1.0,1.0,linear,True,18,5,0.398,0.08814760348415603,0.4008974015712738,0.08205985929548429,2.119,0.12294053440586643,0.0,0.0,0.0,0.242
toy2_stag_hunt_well_mixed_interaction_gate_seed01_05,stag_hunt,fermi_imitation,none,none,0.55,default,,sampled_policy_gradient,spatial,well_mixed_resampled,0.25,1.0,1.0,linear,True,19,5,0.4,0.0651920240520265,0.3978614568710327,0.07861243134471557,2.063,0.1185379686007821,0.0,0.0,0.0,0.258
toy2_stag_hunt_well_mixed_interaction_gate_seed01_05,stag_hunt,fermi_imitation,none,none,0.55,default,,sampled_policy_gradient,spatial,well_mixed_resampled,0.25,1.0,1.0,linear,True,20,5,0.386,0.060249481325568274,0.391091114282608,0.06367929153438907,2.0585,0.10778450723550197,0.0,0.0,0.0,0.254
toy2_stag_hunt_well_mixed_interaction_gate_seed01_05,stag_hunt,fermi_imitation,none,none,0.55,default,,sampled_policy_gradient,spatial,well_mixed_resampled,0.25,1.0,1.0,linear,True,21,5,0.38,0.06123724356957946,0.3710720300674438,0.054198596219171925,2.093,0.1332338170285608,0.0,0.0,0.0,0.262
toy2_stag_hunt_well_mixed_interaction_gate_seed01_05,stag_hunt,fermi_imitation,none,none,0.55,default,,sampled_policy_gradient,spatial,well_mixed_resampled,0.25,1.0,1.0,linear,True,22,5,0.376,0.06465291950097844,0.3712426543235779,0.055952341748446925,2.067,0.09970895145371836,0.0,0.0,0.0,0.254
toy2_stag_hunt_well_mixed_interaction_gate_seed01_05,stag_hunt,fermi_imitation,none,none,0.55,default,,sampled_policy_gradient,spatial,well_mixed_resampled,0.25,1.0,1.0,linear,True,23,5,0.38,0.07348469228349534,0.3684926927089691,0.0608375771636099,2.0015,0.10781349637220751,0.0,0.0,0.0,0.284
