label,game_family,update_rule,mixer,peer_rule,initial_cooperation_probability,policy_prior_mode,policy_prior_cooperation_probability,local_update_rule,revision_rate,selection_strength,policy_temperature,payoff_transform,learning_enabled,epoch,seeds,cooperation_mean,cooperation_std,policy_cooperation_mean,policy_cooperation_std,payoff_mean,payoff_std,local_loss_mean,revised_local_loss_mean,social_loss_mean,realized_revision_rate_mean
toy2_stag_hunt_counterfactual_strength_gate_seed01_03,stag_hunt,fermi_imitation,none,none,0.55,default,,sampled_policy_gradient,0.1,1.0,1.0,linear,True,48,3,0.41333333333333333,0.14011899704655803,0.412742813428243,0.14263606022552616,2.3616666666666664,0.3071780157064195,0.0,0.0,0.0,0.09999999999999999
toy2_stag_hunt_counterfactual_strength_gate_seed01_03,stag_hunt,fermi_imitation,none,none,0.55,default,,sampled_policy_gradient,0.1,1.0,1.0,linear,True,49,3,0.41333333333333333,0.14294521094927712,0.41241179903348285,0.1324653518642725,2.3516666666666666,0.33501243758005944,0.0,0.0,0.0,0.11333333333333333
toy2_stag_hunt_counterfactual_strength_gate_seed01_03,stag_hunt,fermi_imitation,none,none,0.55,default,,sampled_policy_gradient,0.1,1.0,1.0,linear,True,50,3,0.4066666666666667,0.14571661996262927,0.4072505831718445,0.1428047664419036,2.348333333333333,0.33724372986511286,0.0,0.0,0.0,0.10999999999999999
toy2_stag_hunt_counterfactual_strength_gate_seed01_03,stag_hunt,fermi_imitation,none,none,0.55,default,,sampled_policy_gradient,0.1,2.0,1.0,linear,True,0,3,0.54,0.036055512754639904,0.5400000015894572,0.036055511432132814,2.345,0.08231038816577174,0.0,0.0,0.0,0.0
toy2_stag_hunt_counterfactual_strength_gate_seed01_03,stag_hunt,fermi_imitation,none,none,0.55,default,,sampled_policy_gradient,0.1,2.0,1.0,linear,True,1,3,0.5333333333333333,0.04041451884327378,0.5352615316708883,0.03679301069036246,2.3466666666666667,0.09087537253477049,0.0,0.0,0.0,0.07666666666666667
toy2_stag_hunt_counterfactual_strength_gate_seed01_03,stag_hunt,fermi_imitation,none,none,0.55,default,,sampled_policy_gradient,0.1,2.0,1.0,linear,True,2,3,0.54,0.04358898943540669,0.5301813880602518,0.04087336633045339,2.36,0.09962429422585624,0.0,0.0,0.0,0.10666666666666667
toy2_stag_hunt_counterfactual_strength_gate_seed01_03,stag_hunt,fermi_imitation,none,none,0.55,default,,sampled_policy_gradient,0.1,2.0,1.0,linear,True,3,3,0.5433333333333333,0.04618802153517005,0.5459942022959391,0.03988208080686628,2.361666666666667,0.11427306477614646,0.0,0.0,0.0,0.08
toy2_stag_hunt_counterfactual_strength_gate_seed01_03,stag_hunt,fermi_imitation,none,none,0.55,default,,sampled_policy_gradient,0.1,2.0,1.0,linear,True,4,3,0.5366666666666666,0.06658328118479388,0.5255889594554901,0.06714711760439424,2.3583333333333334,0.15044378795195684,0.0,0.0,0.0,0.11
toy2_stag_hunt_counterfactual_strength_gate_seed01_03,stag_hunt,fermi_imitation,none,none,0.55,default,,sampled_policy_gradient,0.1,2.0,1.0,linear,True,5,3,0.5499999999999999,0.051961524227066284,0.5413930316766103,0.06231501969904139,2.3850000000000002,0.12124355652982145,0.0,0.0,0.0,0.07666666666666666
toy2_stag_hunt_counterfactual_strength_gate_seed01_03,stag_hunt,fermi_imitation,none,none,0.55,default,,sampled_policy_gradient,0.1,2.0,1.0,linear,True,6,3,0.54,0.04999999999999996,0.5439694821834564,0.04989383557460544,2.39,0.11434596626029295,0.0,0.0,0.0,0.09000000000000001
toy2_stag_hunt_counterfactual_strength_gate_seed01_03,stag_hunt,fermi_imitation,none,none,0.55,default,,sampled_policy_gradient,0.1,2.0,1.0,linear,True,7,3,0.5333333333333333,0.07023769168568494,0.5313772161801656,0.06665004383994685,2.4066666666666667,0.12553220038433704,0.0,0.0,0.0,0.09999999999999999
toy2_stag_hunt_counterfactual_strength_gate_seed01_03,stag_hunt,fermi_imitation,none,none,0.55,default,,sampled_policy_gradient,0.1,2.0,1.0,linear,True,8,3,0.5266666666666667,0.06506407098647711,0.5329614579677582,0.07113905676595092,2.4033333333333333,0.100041657989726,0.0,0.0,0.0,0.06
toy2_stag_hunt_counterfactual_strength_gate_seed01_03,stag_hunt,fermi_imitation,none,none,0.55,default,,sampled_policy_gradient,0.1,2.0,1.0,linear,True,9,3,0.51,0.0721110255092798,0.5156958401203156,0.06945687973865994,2.385,0.1033198915988591,0.0,0.0,0.0,0.09666666666666666
toy2_stag_hunt_counterfactual_strength_gate_seed01_03,stag_hunt,fermi_imitation,none,none,0.55,default,,sampled_policy_gradient,0.1,2.0,1.0,linear,True,10,3,0.5166666666666667,0.07505553499465131,0.5134434103965759,0.07727709577226688,2.4183333333333334,0.10515861036231575,0.0,0.0,0.0,0.11
