toy,scenario,device,agent_count,epochs,seed,run_id,epoch,policy_rule,coordination_mixer,stage,seconds
toy2,neural_output_average,cpu,100,3,4,toy2_gpu_core_neural_output_average_100_cpu,1,neural_policy,output_average,local_step,0.08139109599869698
toy2,neural_output_average,cpu,100,3,4,toy2_gpu_core_neural_output_average_100_cpu,1,neural_policy,output_average,select_peers,0.00022908602841198444
toy2,neural_output_average,cpu,100,3,4,toy2_gpu_core_neural_output_average_100_cpu,1,neural_policy,output_average,social_distillation,0.06655824102927
toy2,neural_output_average,cpu,100,3,4,toy2_gpu_core_neural_output_average_100_cpu,1,neural_policy,output_average,social_step,0.06660331797320396
toy2,neural_output_average,cpu,100,3,4,toy2_gpu_core_neural_output_average_100_cpu,1,neural_policy,output_average,sample_actions,1.4320248737931252e-06
toy2,neural_output_average,cpu,100,3,4,toy2_gpu_core_neural_output_average_100_cpu,1,neural_policy,output_average,commit_actions,5.209934897720814e-06
toy2,neural_output_average,cpu,100,3,4,toy2_gpu_core_neural_output_average_100_cpu,1,neural_policy,output_average,post_step_state_policy,3.8362923078238964e-05
toy2,neural_output_average,cpu,100,3,4,toy2_gpu_core_neural_output_average_100_cpu,1,neural_policy,output_average,update_payoff_ema,2.2792955860495567e-05
toy2,neural_output_average,cpu,100,3,4,toy2_gpu_core_neural_output_average_100_cpu,1,neural_policy,output_average,update_reputation_ema,1.4016986824572086e-05
toy2,neural_output_average,cpu,100,3,4,toy2_gpu_core_neural_output_average_100_cpu,1,neural_policy,output_average,mobility_swaps,2.1339976228773594e-05
toy2,neural_output_average,cpu,100,3,4,toy2_gpu_core_neural_output_average_100_cpu,1,neural_policy,output_average,finalize_hook_step,6.710796151310205e-05
toy2,neural_output_average,cpu,100,3,4,toy2_gpu_core_neural_output_average_100_cpu,1,neural_policy,output_average,hooked_step_total,0.14991533698048443
toy2,neural_output_average,cpu,100,3,4,toy2_gpu_core_neural_output_average_100_cpu,1,neural_policy,output_average,aggregate_row,0.0026278889272361994
toy2,neural_output_average,cpu,100,3,4,toy2_gpu_core_neural_output_average_100_cpu,1,neural_policy,output_average,write_aggregate,0.00011556001845747232
toy2,neural_output_average,cpu,100,3,4,toy2_gpu_core_neural_output_average_100_cpu,2,neural_policy,output_average,sample_revision_mask,1.4137011021375656e-05
toy2,neural_output_average,cpu,100,3,4,toy2_gpu_core_neural_output_average_100_cpu,2,neural_policy,output_average,build_step_context,1.529906876385212e-05
toy2,neural_output_average,cpu,100,3,4,toy2_gpu_core_neural_output_average_100_cpu,2,neural_policy,output_average,neural_context_peers,5.731009878218174e-06
toy2,neural_output_average,cpu,100,3,4,toy2_gpu_core_neural_output_average_100_cpu,2,neural_policy,output_average,build_observations,0.0009418409317731857
toy2,neural_output_average,cpu,100,3,4,toy2_gpu_core_neural_output_average_100_cpu,2,neural_policy,output_average,policy_readout,0.0003781589912250638
toy2,neural_output_average,cpu,100,3,4,toy2_gpu_core_neural_output_average_100_cpu,2,neural_policy,output_average,decision_selection,0.00036448403261601925
toy2,neural_output_average,cpu,100,3,4,toy2_gpu_core_neural_output_average_100_cpu,2,neural_policy,output_average,local_training,0.05723601998761296
toy2,neural_output_average,cpu,100,3,4,toy2_gpu_core_neural_output_average_100_cpu,2,neural_policy,output_average,cache_refresh,0.0017721300246194005
toy2,neural_output_average,cpu,100,3,4,toy2_gpu_core_neural_output_average_100_cpu,2,neural_policy,output_average,post_local_readout,0.0006062230095267296
toy2,neural_output_average,cpu,100,3,4,toy2_gpu_core_neural_output_average_100_cpu,2,neural_policy,output_average,local_step,0.06177986296825111
toy2,neural_output_average,cpu,100,3,4,toy2_gpu_core_neural_output_average_100_cpu,2,neural_policy,output_average,select_peers,0.00012102106120437384
toy2,neural_output_average,cpu,100,3,4,toy2_gpu_core_neural_output_average_100_cpu,2,neural_policy,output_average,social_distillation,0.06584816100075841
toy2,neural_output_average,cpu,100,3,4,toy2_gpu_core_neural_output_average_100_cpu,2,neural_policy,output_average,social_step,0.06595375202596188
toy2,neural_output_average,cpu,100,3,4,toy2_gpu_core_neural_output_average_100_cpu,2,neural_policy,output_average,sample_actions,2.8850045055150986e-06
toy2,neural_output_average,cpu,100,3,4,toy2_gpu_core_neural_output_average_100_cpu,2,neural_policy,output_average,commit_actions,9.548035450279713e-06
toy2,neural_output_average,cpu,100,3,4,toy2_gpu_core_neural_output_average_100_cpu,2,neural_policy,output_average,post_step_state_policy,5.652802065014839e-05
toy2,neural_output_average,cpu,100,3,4,toy2_gpu_core_neural_output_average_100_cpu,2,neural_policy,output_average,update_payoff_ema,0.00011303497012704611
toy2,neural_output_average,cpu,100,3,4,toy2_gpu_core_neural_output_average_100_cpu,2,neural_policy,output_average,update_reputation_ema,1.9647995941340923e-05
toy2,neural_output_average,cpu,100,3,4,toy2_gpu_core_neural_output_average_100_cpu,2,neural_policy,output_average,mobility_swaps,6.355100777000189e-05
toy2,neural_output_average,cpu,100,3,4,toy2_gpu_core_neural_output_average_100_cpu,2,neural_policy,output_average,finalize_hook_step,0.00012987700756639242
toy2,neural_output_average,cpu,100,3,4,toy2_gpu_core_neural_output_average_100_cpu,2,neural_policy,output_average,hooked_step_total,0.1298373870085925
toy2,neural_output_average,cpu,100,3,4,toy2_gpu_core_neural_output_average_100_cpu,2,neural_policy,output_average,aggregate_row,0.0038613040233030915
toy2,neural_output_average,cpu,100,3,4,toy2_gpu_core_neural_output_average_100_cpu,2,neural_policy,output_average,write_aggregate,0.00011805503163486719
