label,recovery_rate,extraction_cost,coordination_mixer,coordination_peer_rule,alpha,seed,epochs,run_dir,domain_final_resource_fraction,domain_final_resource_level,domain_final_mean_intensity,domain_final_intensity_variance,domain_final_mean_payoff,final_fragmentation_components
toy7_resource_sweep_seeds01_05,0.02,0.5,output_average,output_similarity,0.25,3,25,experiments/runs/20260511_164143_335059_toy7_resource_sweep_seeds01_05_r0p02_c0p5_output_average_output_similarity_a0p25_seed03,0.20649564693242556,20.649564693242557,0.2585949487827121,0.000325060950726143,0.021071734603164086,1
toy7_resource_sweep_seeds01_05,0.02,0.5,output_average,output_similarity,0.25,4,25,experiments/runs/20260511_164143_417505_toy7_resource_sweep_seeds01_05_r0p02_c0p5_output_average_output_similarity_a0p25_seed04,0.2060028699898233,20.60028699898233,0.25684198316927664,0.00038089898543851406,0.020959087479575936,1
toy7_resource_sweep_seeds01_05,0.02,0.5,output_average,output_similarity,0.25,5,25,experiments/runs/20260511_164143_498572_toy7_resource_sweep_seeds01_05_r0p02_c0p5_output_average_output_similarity_a0p25_seed05,0.20607316935144473,20.607316935144475,0.25635679023650815,0.0004748455283642768,0.020942588302063685,1
toy7_resource_sweep_seeds01_05,0.02,0.5,output_average,output_similarity,0.5,1,25,experiments/runs/20260511_164143_580429_toy7_resource_sweep_seeds01_05_r0p02_c0p5_output_average_output_similarity_a0p5_seed01,0.20641926850183276,20.641926850183275,0.2539229313273522,0.0005201666600808865,0.021067076406487383,1
toy7_resource_sweep_seeds01_05,0.02,0.5,output_average,output_similarity,0.5,2,25,experiments/runs/20260511_164143_664619_toy7_resource_sweep_seeds01_05_r0p02_c0p5_output_average_output_similarity_a0p5_seed02,0.20575349306130528,20.575349306130526,0.2573136065106177,0.00046903453776727164,0.02083760667233478,1
toy7_resource_sweep_seeds01_05,0.02,0.5,output_average,output_similarity,0.5,3,25,experiments/runs/20260511_164143_747694_toy7_resource_sweep_seeds01_05_r0p02_c0p5_output_average_output_similarity_a0p5_seed03,0.2064956284580317,20.64956284580317,0.2585929601682732,0.00032508851168143525,0.021071767796692873,1
toy7_resource_sweep_seeds01_05,0.02,0.5,output_average,output_similarity,0.5,4,25,experiments/runs/20260511_164143_829505_toy7_resource_sweep_seeds01_05_r0p02_c0p5_output_average_output_similarity_a0p5_seed04,0.20600255450058544,20.600255450058544,0.25684036987912157,0.0003808644774526407,0.020959062557740826,1
toy7_resource_sweep_seeds01_05,0.02,0.5,output_average,output_similarity,0.5,5,25,experiments/runs/20260511_164143_912928_toy7_resource_sweep_seeds01_05_r0p02_c0p5_output_average_output_similarity_a0p5_seed05,0.20607742787730346,20.607742787730345,0.25636803302418354,0.00047494007387027093,0.020943378074147742,1
toy7_resource_sweep_seeds01_05,0.05,0.25,none,none,0.0,1,25,experiments/runs/20260511_164144_000033_toy7_resource_sweep_seeds01_05_r0p05_c0p25_none_none_a0_seed01,0.21223538493126637,21.223538493126636,0.4489213016037141,0.0005202141511910202,0.04312246477981902,100
toy7_resource_sweep_seeds01_05,0.05,0.25,none,none,0.0,2,25,experiments/runs/20260511_164144_042212_toy7_resource_sweep_seeds01_05_r0p05_c0p25_none_none_a0_seed02,0.21159550398098484,21.159550398098485,0.4520719679749915,0.0004679588923338878,0.04289845226066522,100
toy7_resource_sweep_seeds01_05,0.05,0.25,none,none,0.0,3,25,experiments/runs/20260511_164144_084365_toy7_resource_sweep_seeds01_05_r0p05_c0p25_none_none_a0_seed03,0.21210710699971763,21.210710699971763,0.45373378368843525,0.00032570391672449395,0.04321148081480063,100
toy7_resource_sweep_seeds01_05,0.05,0.25,none,none,0.0,4,25,experiments/runs/20260511_164144_126366_toy7_resource_sweep_seeds01_05_r0p05_c0p25_none_none_a0_seed04,0.21158002331095419,21.158002331095418,0.45156696474652963,0.00038029894830166245,0.042902763910571,100
toy7_resource_sweep_seeds01_05,0.05,0.25,none,none,0.0,5,25,experiments/runs/20260511_164144_166598_toy7_resource_sweep_seeds01_05_r0p05_c0p25_none_none_a0_seed05,0.21121907664750644,21.121907664750644,0.4504722309903204,0.00047463539707425564,0.04268554459272272,100
toy7_resource_sweep_seeds01_05,0.05,0.25,output_average,output_similarity,0.0,1,25,experiments/runs/20260511_164144_206785_toy7_resource_sweep_seeds01_05_r0p05_c0p25_output_average_output_similarity_a0_seed01,0.21223538493126637,21.223538493126636,0.4489213016037141,0.0005202141511910202,0.04312246477981902,1
toy7_resource_sweep_seeds01_05,0.05,0.25,output_average,output_similarity,0.0,2,25,experiments/runs/20260511_164144_267673_toy7_resource_sweep_seeds01_05_r0p05_c0p25_output_average_output_similarity_a0_seed02,0.21159550398098484,21.159550398098485,0.4520719679749915,0.0004679588923338878,0.04289845226066522,1
toy7_resource_sweep_seeds01_05,0.05,0.25,output_average,output_similarity,0.0,3,25,experiments/runs/20260511_164144_331135_toy7_resource_sweep_seeds01_05_r0p05_c0p25_output_average_output_similarity_a0_seed03,0.21210710699971763,21.210710699971763,0.45373378368843525,0.00032570391672449395,0.04321148081480063,1
toy7_resource_sweep_seeds01_05,0.05,0.25,output_average,output_similarity,0.0,4,25,experiments/runs/20260511_164144_396729_toy7_resource_sweep_seeds01_05_r0p05_c0p25_output_average_output_similarity_a0_seed04,0.21158002331095419,21.158002331095418,0.45156696474652963,0.00038029894830166245,0.042902763910571,1
toy7_resource_sweep_seeds01_05,0.05,0.25,output_average,output_similarity,0.0,5,25,experiments/runs/20260511_164144_461279_toy7_resource_sweep_seeds01_05_r0p05_c0p25_output_average_output_similarity_a0_seed05,0.21121907664750644,21.121907664750644,0.4504722309903204,0.00047463539707425564,0.04268554459272272,1
toy7_resource_sweep_seeds01_05,0.05,0.25,output_average,output_similarity,0.25,1,25,experiments/runs/20260511_164144_529577_toy7_resource_sweep_seeds01_05_r0p05_c0p25_output_average_output_similarity_a0p25_seed01,0.21223977533215968,21.22397753321597,0.4489054530108666,0.0005200440579341458,0.04312423444589433,1
toy7_resource_sweep_seeds01_05,0.05,0.25,output_average,output_similarity,0.25,2,25,experiments/runs/20260511_164144_619319_toy7_resource_sweep_seeds01_05_r0p05_c0p25_output_average_output_similarity_a0p25_seed02,0.21158836603971604,21.158836603971604,0.4520929061221993,0.000469142164066943,0.042895182527704794,1
toy7_resource_sweep_seeds01_05,0.05,0.25,output_average,output_similarity,0.25,3,25,experiments/runs/20260511_164144_702514_toy7_resource_sweep_seeds01_05_r0p05_c0p25_output_average_output_similarity_a0p25_seed03,0.21211038399953475,21.211038399953473,0.4537254244324443,0.00032505226692161946,0.04321304005201922,1
toy7_resource_sweep_seeds01_05,0.05,0.25,output_average,output_similarity,0.25,4,25,experiments/runs/20260511_164144_786568_toy7_resource_sweep_seeds01_05_r0p05_c0p25_output_average_output_similarity_a0p25_seed04,0.21158201947217659,21.15820194721766,0.4515613673781618,0.00038087753382289193,0.04290345416023089,1
toy7_resource_sweep_seeds01_05,0.05,0.25,output_average,output_similarity,0.25,5,25,experiments/runs/20260511_164144_870865_toy7_resource_sweep_seeds01_05_r0p05_c0p25_output_average_output_similarity_a0p25_seed05,0.21121415817400102,21.121415817400102,0.45049356637534904,0.00047475510681831265,0.04268361613284946,1
